time,liver_damage,liver_viability,liver_GSH,heart_V,heart_force,heart_hERG_block,C_blood,C_liver,C_heart,IL6,TNFa,IL10,inflammatory_index
0.0,0.0020000000000000005,0.998,10.54,-84.99247192652243,0.009330461773038475,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0
1.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.91745897153115,0.00514440592827889,0.0,0.0,6650474.505696446,6650474.505696446,1630.7681725287089,6002.475462624962,0.0,7633243635.153671
2.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.8426682988431,0.00283154174282801,0.0,0.0,89435768060.74397,89435768060.74399,10947.916988919838,24461.505578806315,0.0,35409422567.72616
3.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.76809857896458,0.0015572718436733348,0.0,0.0,1202734725792939.5,1202734725792939.5,19584.936986865185,35830.422403838216,0.0,55415359390.70341
4.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.69374907068968,0.000856254569873127,0.0,0.0,1.6174410439967597e+19,1.6174410439967599e+19,27557.065382692326,42912.18492087268,0.0,70469250303.565
5.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.6196190432689,0.0004708734851220381,0.0,0.0,2.175139267788725e+23,2.1751392677887247e+23,35000.39282490402,47547.68839762558,0.0,82548081222.5296
6.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.54570776999282,0.00025906154224667176,0.0,0.0,2.9251334086251546e+27,2.9251334086251546e+27,42022.13072465574,50812.944394566286,0.0,92835075119.22203
7.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.47201452688657,0.0001426368627368629,0.0,0.0,3.9337276398644458e+31,3.9337276398644458e+31,48709.55866921846,53336.21135582767,0.0,102045770025.04614
8.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.39853859218292,7.862187886109628e-05,0.0,0.0,5.290088000432964e+35,5.290088000432965e+35,55135.66578420786,55483.82985265211,0.0,110619495636.85997
9.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.3252792459734,4.340398654606963e-05,0.0,0.0,7.114125230411016e+39,7.114125230411018e+39,61362.80518437394,57469.1008819017,0.0,118831906066.27565
10.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.25223576994269,2.4012707130200982e-05,0.0,0.0,9.567095630512834e+43,9.567095630512834e+43,67445.14097322887,59416.05953988945,0.0,126861200513.11833
11.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.17940744715548,1.332326766411808e-05,0.0,0.0,1.2865857127748318e+48,1.2865857127748322e+48,73430.35011578666,61396.815083003145,0.0,134827165198.7898
12.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.1067935618862,7.4213248799534395e-06,0.0,0.0,1.7302040872644558e+52,1.7302040872644558e+52,79360.8549258892,63453.40156304025,0.0,142814256488.92944
13.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-84.03439339948213,4.155663614304142e-06,0.0,0.0,2.3267833257142245e+56,2.3267833257142245e+56,85274.7519426552,65610.55383163184,0.0,150885305774.28705
14.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.96220624625055,2.343470747349598e-06,0.0,0.0,3.129064764481885e+60,3.1290647644818858e+60,91206.53799052164,67883.16864994609,0.0,159089706640.46774
15.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.89023138936687,1.333954926436475e-06,0.0,0.0,4.207975101126633e+64,4.207975101126633e+64,97187.69567376553,70280.65431428785,0.0,167468349988.05338
16.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.81846811679793,7.687128172355845e-07,0.0,0.0,5.65889675812883e+68,5.65889675812883e+68,103247.17756682292,72809.45995468204,0.0,176056637521.50494
17.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.74691571723872,4.501138380175941e-07,0.0,0.0,7.610100285666421e+72,7.610100285666421e+72,109411.81453967329,75474.54095913391,0.0,184886355498.80722
18.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.67557348005698,2.689928171786535e-07,0.0,0.0,1.0234084280599217e+77,1.0234084280599217e+77,115706.66525301081,78280.20358511987,0.0,193986868838.13068
19.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.60444069524802,1.6491003890767338e-07,0.0,0.0,1.3762825341431906e+81,1.3762825341431906e+81,122155.31866714839,81230.58815674645,0.0,203385906823.89484
20.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.53351665339116,1.0429846335561157e-07,0.0,0.0,1.8508286250664896e+85,1.8508286250664896e+85,128780.15813499148,84329.9426240841,0.0,213110100759.0756
21.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.4628006456148,6.843811485347708e-08,0.0,0.0,2.4889995436134133e+89,2.4889995436134133e+89,135602.59352873478,87582.77520971137,0.0,223185368738.44617
22.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.39229196356317,4.68317047103223e-08,0.0,0.0,3.3472135908235295e+93,3.3472135908235295e+93,142643.26643052898,90993.93793886386,0.0,233637204369.39285
23.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.3219898993647,3.3550566499627414e-08,0.0,0.0,4.5013422567079044e+97,4.501342256707905e+97,149922.232431292,94568.67123026156,0.0,244490903661.5536
24.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.25189374560333,2.5215316532888897e-08,0.0,0.0,6.053417734551872e+101,6.053417734551872e+101,157459.12386924436,98312.62707626277,0.0,255771750945.50714
25.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.18200279529114,1.987713252176155e-08,0.0,0.0,8.140653205025762e+105,8.140653205025762e+105,165273.29580448513,102231.88094828733,0.0,267505176752.7725
26.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.11231634184054,1.6395911713603283e-08,0.0,0.0,1.094757333964202e+110,1.094757333964202e+110,173383.95760950257,106332.93824900468,0.0,279716895858.50726
27.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-83.04283367903905,1.4093086424698278e-08,0.0,0.0,1.4722327435942094e+114,1.4722327435942094e+114,181810.29222178253,110622.73862048793,0.0,292433030842.2705
28.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.97355410102179,1.255665126291473e-08,0.0,0.0,1.9798627367604443e+118,1.9798627367604448e+118,190571.56483081693,115108.65995963529,0.0,305680224790.4522
29.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.90447690224674,1.1530834837567185e-08,0.0,0.0,2.662524980148781e+122,2.6625249801487816e+122,199687.22254302163,119798.52315057314,0.0,319485745693.5948
30.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.83560137746706,1.0853057665935094e-08,0.0,0.0,3.580571086213646e+126,3.580571086213646e+126,209176.98637442992,124700.59804189923,0.0,333877584416.32916
31.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.7669268217062,1.0417465679435593e-08,0.0,0.0,4.815162073225981e+130,4.815162073225981e+130,219060.93675562597,129823.61092429461,0.0,348884547679.9206
32.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.69845253023023,1.0153516951132326e-08,0.0,0.0,6.4754435069608525e+134,6.4754435069608525e+134,229359.59359122597,135176.75361334707,0.0,364536347204.57306
33.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.6301777985208,1.001318082483087e-08,0.0,0.0,8.708194651431321e+138,8.708194651431324e+138,240093.9917935396,140769.69416202308,0.0,380863685955.5627
34.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.56210192224766,9.963126725830548e-09,0.0,0.0,1.171080467395012e+143,1.171080467395012e+143,251285.75310392116,146612.58918712652,0.0,397898342291.04767
35.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.494224197241,9.979848529334346e-09,0.0,0.0,1.5748723082214351e+147,1.5748723082214351e+147,262957.1549233886,152716.09777683162,0.0,415673252700.2202
36.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.42654391946283,1.0046547730000761e-08,0.0,0.0,2.1178927121206247e+151,2.1178927121206247e+151,275131.19679442194,159091.39694184647,0.0,434222593736.26843
37.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.35906038497873,1.0151092546106906e-08,0.0,0.0,2.848148079458753e+155,2.848148079458753e+155,287831.66510682384,165750.1985751032,0.0,453581863681.92706
38.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-82.29177288992703,1.0284650428469456e-08,0.0,0.0,3.830197552548436e+159,3.830197552548436e+159,301083.1965407632,172704.7678907308,0.0,473787964431.494
