# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
0.000,30.000000,30.000000,0.300000,-0.150000,100.00
0.010,29.998500,29.998500,0.299985,-0.149993,100.00
0.020,29.997000,29.997000,0.299970,-0.149985,100.00
0.030,29.995500,29.995500,0.299955,-0.149978,100.00
0.040,29.994000,29.994000,0.299940,-0.149970,100.00
0.050,29.992501,29.992501,0.299925,-0.149963,100.00
0.060,29.991001,29.991001,0.299910,-0.149955,100.00
0.070,29.989502,29.989502,0.299895,-0.149948,100.00
0.080,29.988002,29.988002,0.593940,-0.296970,100.00
0.090,29.985032,29.985032,0.593895,-0.296948,100.00
0.100,29.982063,29.982063,0.593851,-0.296925,100.00
0.110,29.979094,29.979094,0.593806,-0.296903,100.00
0.120,29.976125,29.976125,0.593762,-0.296881,100.00
0.130,29.973156,29.973156,0.593718,-0.296859,100.00
0.140,29.970187,29.970187,0.593673,-0.296837,100.00
0.150,29.967219,29.967219,0.593629,-0.296814,100.00
0.160,29.964251,29.964251,0.881821,-0.440911,100.00
0.170,29.959842,29.959842,0.881734,-0.440867,100.00
0.180,29.955433,29.955433,0.881646,-0.440823,100.00
0.190,29.951025,29.951025,0.881559,-0.440779,100.00
0.200,29.946617,29.946617,0.881471,-0.440735,100.00
0.210,29.942210,29.942210,0.881383,-0.440692,100.00
0.220,29.937803,29.937803,0.881296,-0.440648,100.00
0.230,29.933396,29.933396,0.881208,-0.440604,100.00
0.240,29.928990,29.928990,1.163650,-0.581825,100.00
0.250,29.923172,29.923172,1.163506,-0.581753,100.00
0.260,29.917354,29.917354,1.163362,-0.581681,100.00
0.270,29.911538,29.911538,1.163218,-0.581609,100.00
0.280,29.905721,29.905721,1.163074,-0.581537,100.00
0.290,29.899906,29.899906,1.162930,-0.581465,100.00
0.300,29.894091,29.894091,1.162786,-0.581393,100.00
0.310,29.888278,29.888278,1.162642,-0.581321,100.00
0.320,29.882464,29.882464,1.439433,-0.719716,100.00
0.330,29.875267,29.875267,1.439220,-0.719610,100.00
0.340,29.868071,29.868071,1.439007,-0.719503,100.00
0.350,29.860876,29.860876,1.438793,-0.719397,100.00
0.360,29.853682,29.853682,1.438580,-0.719290,100.00
