# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
0.000,29.998500,-0.150000,126,30.000000,-0.150000,0.300000,100.00
0.010,29.997000,-0.149993,126,29.998500,-0.149993,0.299985,100.00
0.020,29.995500,-0.149985,126,29.997000,-0.149985,0.299970,100.00
0.030,29.994000,-0.149978,126,29.995500,-0.149978,0.299955,100.00
0.040,29.992501,-0.149970,126,29.994000,-0.149970,0.299940,100.00
0.050,29.991001,-0.149963,126,29.992501,-0.149963,0.299925,100.00
0.060,29.989502,-0.149955,126,29.991001,-0.149955,0.299910,100.00
0.070,29.988002,-0.149948,126,29.989502,-0.149948,0.299895,100.00
0.080,29.985032,-0.296970,124,29.988002,-0.296970,0.593940,100.00
0.090,29.982063,-0.296948,124,29.985032,-0.296948,0.593895,100.00
0.100,29.979094,-0.296925,124,29.982063,-0.296925,0.593851,100.00
0.110,29.976125,-0.296903,124,29.979094,-0.296903,0.593806,100.00
0.120,29.973156,-0.296881,124,29.976125,-0.296881,0.593762,100.00
0.130,29.970187,-0.296859,124,29.973156,-0.296859,0.593718,100.00
0.140,29.967219,-0.296837,124,29.970187,-0.296837,0.593673,100.00
0.150,29.964251,-0.296814,124,29.967219,-0.296814,0.593629,100.00
0.160,29.959842,-0.440911,122,29.964251,-0.440911,0.881821,100.00
0.170,29.955433,-0.440867,122,29.959842,-0.440867,0.881734,100.00
0.180,29.951025,-0.440823,122,29.955433,-0.440823,0.881646,100.00
0.190,29.946617,-0.440779,122,29.951025,-0.440779,0.881559,100.00
0.200,29.942210,-0.440735,122,29.946617,-0.440735,0.881471,100.00
0.210,29.937803,-0.440692,122,29.942210,-0.440692,0.881383,100.00
0.220,29.933396,-0.440648,122,29.937803,-0.440648,0.881296,100.00
0.230,29.928990,-0.440604,122,29.933396,-0.440604,0.881208,100.00
0.240,29.923172,-0.581825,120,29.928990,-0.581825,1.163650,100.00
0.250,29.917354,-0.581753,120,29.923172,-0.581753,1.163506,100.00
0.260,29.911538,-0.581681,120,29.917354,-0.581681,1.163362,100.00
0.270,29.905721,-0.581609,120,29.911538,-0.581609,1.163218,100.00
0.280,29.899906,-0.581537,120,29.905721,-0.581537,1.163074,100.00
0.290,29.894091,-0.581465,120,29.899906,-0.581465,1.162930,100.00
0.300,29.888278,-0.581393,120,29.894091,-0.581393,1.162786,100.00
0.310,29.882464,-0.581321,120,29.888278,-0.581321,1.162642,100.00
0.320,29.875267,-0.719716,118,29.882464,-0.719716,1.439433,100.00
0.330,29.868071,-0.719610,118,29.875267,-0.719610,1.439220,100.00
0.340,29.860876,-0.719503,118,29.868071,-0.719503,1.439007,100.00
0.350,29.853682,-0.719397,118,29.860876,-0.719397,1.438793,100.00
0.360,29.846489,-0.719290,118,29.853682,-0.719290,1.438580,100.00
0.370,29.839297,-0.719184,118,29.846489,-0.719184,1.438367,100.00
0.380,29.832107,-0.719077,118,29.839297,-0.719077,1.438154,100.00
0.390,29.824917,-0.718971,118,29.832107,-0.718971,1.437941,100.00
0.400,29.816371,-0.854590,117,29.824917,-0.854590,1.709179,100.00
0.410,29.807827,-0.854442,117,29.816371,-0.854442,1.708885,100.00
0.420,29.799284,-0.854295,117,29.807827,-0.854295,1.708591,100.00
0.430,29.790742,-0.854148,117,29.799284,-0.854148,1.708296,100.00
0.440,29.782202,-0.854001,117,29.790742,-0.854001,1.708002,100.00
0.450,29.773664,-0.853854,117,29.782202,-0.853854,1.707708,100.00
0.460,29.765126,-0.853707,117,29.773664,-0.853707,1.707413,100.00
0.470,29.756591,-0.853560,117,29.765126,-0.853560,1.707119,100.00
0.480,29.746726,-0.986451,115,29.756591,-0.986451,1.972901,100.00
0.490,29.736864,-0.986257,115,29.746726,-0.986257,1.972514,100.00
0.500,29.727003,-0.986063,115,29.736864,-0.986063,1.972127,100.00
0.510,29.717144,-0.985870,115,29.727003,-0.985870,1.971740,100.00
0.520,29.707288,-0.985676,115,29.717144,-0.985676,1.971353,100.00
0.530,29.697433,-0.985483,115,29.707288,-0.985483,1.970966,100.00
0.540,29.687580,-0.985289,115,29.697433,-0.985289,1.970579,100.00
0.550,29.677729,-0.985096,115,29.687580,-0.985096,1.970192,100.00
0.560,29.666576,-1.115306,113,29.677729,-1.115306,2.230612,100.00
0.570,29.655425,-1.115061,113,29.666576,-1.115061,2.230121,100.00
0.580,29.644277,-1.114815,113,29.655425,-1.114815,2.229630,100.00
0.590,29.633131,-1.114570,113,29.644277,-1.114570,2.229139,100.00
0.600,29.621988,-1.114324,113,29.633131,-1.114324,2.228649,100.00
0.610,29.610847,-1.114079,113,29.621988,-1.114079,2.228158,100.00
0.620,29.599709,-1.113834,113,29.610847,-1.113834,2.227667,100.00
0.630,29.588573,-1.113588,113,29.599709,-1.113588,2.227176,100.00
0.640,29.576162,-1.241165,112,29.588573,-1.241165,2.482329,100.00
0.650,29.563753,-1.240862,112,29.576162,-1.240862,2.481724,100.00
0.660,29.551347,-1.240559,112,29.563753,-1.240559,2.481118,100.00
